name,desc
gsw_entropy_from_ct,Calculates specific entropy of seawater from Conservative Temperature.
gsw_entropy_from_pt,Calculates specific entropy of seawater.
gsw_entropy_from_t,Calculates the specific entropy of seawater
gsw_entropy_ice,Calculates specific entropy of ice.
gsw_entropy_part,entropy minus the terms that are a function of only SA
gsw_entropy_part_zerop,entropy part evaluated at the sea surface
gsw_entropy_second_derivatives,"Calculates the following three second-order partial derivatives of 
specific entropy (eta) 
(1) eta_SA_SA, the second derivative with respect to Absolute  
Salinity at constant Conservative Temperature, and
(2) eta_SA_CT, the derivative with respect to Absolute Salinity and 
Conservative Temperature. 
(3) eta_CT_CT, the second derivative with respect to Conservative 
Temperature at constant Absolute Salinity."
gsw_fdelta,Calculates fdelta.
gsw_frazil_properties,"Calculates the mass fraction of ice (mass of ice divided by mass of ice
plus seawater), w_Ih_final, which results from given values of the bulk
Absolute Salinity, SA_bulk, bulk enthalpy, h_bulk, occuring at pressure
p.  The final values of Absolute Salinity, SA_final, and Conservative
Temperature, CT_final, of the interstitial seawater phase are also
returned.  This code assumes that there is no dissolved air in the
seawater (that is, saturation_fraction is assumed to be zero
throughout the code).
When the mass fraction w_Ih_final is calculated as being a positive
value, the seawater-ice mixture is at thermodynamic equlibrium.  
This code returns w_Ih_final = 0 when the input bulk enthalpy, h_bulk, 
is sufficiently large (i.e. sufficiently ""warm"") so that there is no ice 
present in the final state.  In this case the final state consists of 
only seawater rather than being an equlibrium mixture of seawater and 
ice which occurs when w_Ih_final is positive.  Note that when"
gsw_frazil_properties_potential,"Calculates the mass fraction of ice (mass of ice divided by mass of ice
plus seawater), w_Ih_final, which results from given values of the bulk
Absolute Salinity, SA_bulk, bulk potential enthalpy, h_pot_bulk,
occuring at pressure p.  The final equilibrium values of Absolute
Salinity, SA_final, and Conservative Temperature, CT_final, of the
interstitial seawater phase are also returned.  This code assumes that
there is no dissolved air in the seawater (that is, saturation_fraction
is assumed to be zero thoughout the code).
When the mass fraction w_Ih_final is calculated as being a positive
value, the seawater-ice mixture is at thermodynamic equlibrium.  
This code returns w_Ih_final = 0 when the input bulk enthalpy, h_bulk, 
is sufficiently large (i.e. sufficiently ""warm"") so that there is no ice 
present in the final state.  In this case the final state consists of 
only seawater rather than being an equlibrium mixture of seawater and 
ice which occurs when w_Ih_final is positive.  Note that when"
gsw_frazil_properties_potential_poly,"Calculates the mass fraction of ice (mass of ice divided by mass of ice
plus seawater), w_Ih_final, which results from given values of the bulk
Absolute Salinity, SA_bulk, bulk potential enthalpy, h_pot_bulk,
occuring at pressure p.  The final equilibrium values of Absolute
Salinity, SA_final, and Conservative Temperature, CT_final, of the
interstitial seawater phase are also returned.  This code assumes that
there is no dissolved air in the seawater (that is, saturation_fraction
is assumed to be zero thoughout the code).
When the mass fraction w_Ih_final is calculated as being a positive
value, the seawater-ice mixture is at thermodynamic equlibrium.  
This code returns w_Ih_final = 0 when the input bulk enthalpy, h_bulk, 
is sufficiently large (i.e. sufficiently ""warm"") so that there is no ice 
present in the final state.  In this case the final state consists of 
only seawater rather than being an equlibrium mixture of seawater and 
ice which occurs when w_Ih_final is positive.  Note that when"
gsw_frazil_ratios_adiabatic,"Calculates the ratios of SA, CT and P changes when frazil ice forms or
melts in response to an adiabatic change in pressure of a mixture of 
seawater and frazil ice crystals.  
Note that the first output, dSA_dCT_frazil, is dSA/dCT rather than 
dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT, is zero 
whereas dCT/dSA would then be infinite. 
Also note that both dSA_dP_frazil and dCT_dP_frazil are the pressure
derivatives with the pressure measured in Pa not dbar."
gsw_frazil_ratios_adiabatic_poly,"Calculates the ratios of SA, CT and P changes when frazil ice forms or
melts in response to an adiabatic change in pressure of a mixture of
seawater and frazil ice crystals.
Note that the first output, dSA_dCT_frazil, is dSA/dCT rather than
dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT, is zero
whereas dCT/dSA would then be infinite.
Also note that both dSA_dP_frazil and dCT_dP_frazil are the pressure
derivatives with the pressure measured in Pa not dbar."
"/* Returns NULL on error, dyn_height if okay */
gsw_geo_strf_dyn_height","Calculates dynamic height anomaly as the integral of specific volume
anomaly from the pressure p of the bottle to the reference pressure
p_ref.
Hence, geo_strf_dyn_height is the dynamic height anomaly with respect
to a given reference pressure.  This is the geostrophic streamfunction
for the difference between the horizontal velocity at the pressure
concerned, p, and the horizontal velocity at p_ref.  Dynamic height
anomaly is the geostrophic streamfunction in an isobaric surface.  The
reference values used for the specific volume anomaly are

*/
static void p_sequence(double p1,double p2,double max_dp_i,double *pseq,
	int *nps);	/* forward reference"
gsw_geo_strf_dyn_height_pc,"Calculates dynamic height anomaly as the integral of specific volume 
anomaly from the the sea surface pressure (0 Pa) to the pressure p.
This function, gsw_geo_strf_dyn_height_pc, is to used when the 
Absolute Salinity and Conservative Temperature are piecewise constant in 
the vertical over sucessive pressure intervals of delta_p (such as in
a forward ""z-coordinate"" ocean model).  ""geo_strf_dyn_height_pc"" is
the dynamic height anomaly with respect to the sea surface.  That is, 
""geo_strf_dyn_height_pc"" is the geostrophic streamfunction for the 
difference between the horizontal velocity at the pressure concerned, p,
and the horizontal velocity at the sea surface.  Dynamic height anomaly 
is the geostrophic streamfunction in an isobaric surface.  The reference
values used for the specific volume anomaly are SA = SSO = 35.16504 g/kg
and CT = 0 deg C.  The output values of geo_strf_dyn_height_pc are 
given at the mid-point pressures, p_mid, of each layer in which SA and 
CT are vertically piecewice constant (pc).  This function calculates 
enthalpy using the computationally-efficient 75-term expression for 
specific volume of Roquet et al., (2015)."
gsw_gibbs,seawater specific Gibbs free energy and derivatives up to order 2
gsw_gibbs_ice,Ice specific Gibbs energy and derivatives up to order 2.
gsw_gibbs_ice_part_t,"part of the the first temperature derivative of Gibbs energy of ice
that is the outout is gibbs_ice(1,0,t,p) + S0"
gsw_gibbs_ice_pt0,"Part of the the first temperature derivative of Gibbs energy of ice
that is the outout is ""gibbs_ice(1,0,pt0,0) + s0"""
gsw_gibbs_ice_pt0_pt0,"The second temperature derivative of Gibbs energy of ice at the 
potential temperature with reference sea pressure of zero dbar.  That is
the output is gibbs_ice(2,0,pt0,0)."
gsw_gibbs_pt0_pt0,"gibbs_tt at (sa,pt,0)"
gsw_grav,"Calculates acceleration due to gravity as a function of latitude and as
a function of pressure in the ocean."
gsw_helmholtz_energy_ice,Calculates the Helmholtz energy of ice.
gsw_hill_ratio_at_sp2,"Calculates the Hill ratio, which is the adjustment needed to apply for
Practical Salinities smaller than 2.  This ratio is defined at a 
Practical Salinity = 2 and in-situ temperature, t using PSS-78. The Hill
ratio is the ratio of 2 to the output of the Hill et al. (1986) formula
for Practical Salinity at the conductivity ratio, Rt, at which Practical
Salinity on the PSS-78 scale is exactly 2."
gsw_ice_fraction_to_freeze_seawater,"Calculates the mass fraction of ice (mass of ice divided by mass of ice
plus seawater), which, when melted into seawater having (SA,CT,p) causes
the final dilute seawater to be at the freezing temperature.  The other
outputs are the Absolute Salinity and Conservative Temperature of the
final diluted seawater."
gsw_internal_energy,Calculates internal energy of seawater.
gsw_internal_energy_ice,Calculates the specific internal energy of ice.
gsw_ipv_vs_fnsquared_ratio,"Calculates the ratio of the vertical gradient of potential density to 
the vertical gradient of locally-referenced potential density.  This 
ratio is also the ratio of the planetary Isopycnal Potential Vorticity
(IPV) to f times N^2, hence the name for this variable,
IPV_vs_fNsquared_ratio (see Eqn. (3.20.5) of IOC et al. (2010)). 
The reference sea pressure, p_ref, of the potential density surface must
have a constant value.
IPV_vs_fNsquared_ratio is evaluated at the mid pressure between the 
individual data points in the vertical."
gsw_kappa,"Calculates isentropic compressibility of seawater.  This function
has inputs of Absolute Salinity and Conservative Temperature.  This
function uses the computationally-efficient expression for
specific volume in terms of SA, CT and p (Roquet et al., 2014)."
gsw_kappa_const_t_ice,"Calculates isothermal compressibility of ice. 
Note. This is the compressibility of ice AT CONSTANT IN-SITU
TEMPERATURE"
gsw_kappa_ice,Calculates the isentropic compressibility of ice.
gsw_kappa_t_exact,isentropic compressibility of seawater
gsw_latentheat_evap_ct,"Calculates latent heat, or enthalpy, of evaporation."
gsw_latentheat_evap_t,"Calculates latent heat, or enthalpy, of evaporation."
gsw_latentheat_melting,"Calculates latent heat, or enthalpy, of melting."
gsw_linear_interp_sa_ct,"This function interpolates the cast with respect to the interpolating 
variable p. This function finds the values of SA, CT at p_i on this cast.
VERSION NUMBER: 3.05 (27th January 2015)
This function was adapted from Matlab's interp1q.
!=========================================================================="
gsw_melting_ice_equilibrium_sa_ct_ratio,"Calculates the ratio of SA to CT changes when ice melts into seawater
with both the seawater and the seaice temperatures being almost equal to
the equilibrium freezing temperature.  It is assumed that a small mass 
of ice melts into an infinite mass of seawater.  If indeed the 
temperature of the seawater and the ice were both equal to the freezing
temperature, then no melting or freezing would occur an imbalance 
between these three temperatures is needed for freezing or melting to
occur (the three temperatures being (1) the seawater temperature, 
(2) the ice temperature, and (3) the freezing temperature.  
The output, melting_ice_equilibrium_SA_CT_ratio, is dSA/dCT rather than 
dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT is zero
whereas dCT/dSA would be infinite."
gsw_melting_ice_equilibrium_sa_ct_ratio_poly,"Calculates the ratio of SA to CT changes when ice melts into seawater
with both the seawater and the seaice temperatures being almost equal to
the equilibrium freezing temperature.  It is assumed that a small mass
of ice melts into an infinite mass of seawater.  If indeed the
temperature of the seawater and the ice were both equal to the freezing
temperature, then no melting or freezing would occur an imbalance
between these three temperatures is needed for freezing or melting to
occur (the three temperatures being (1) the seawater temperature,
(2) the ice temperature, and (3) the freezing temperature.
The output, melting_ice_equilibrium_SA_CT_ratio, is dSA/dCT rather than
dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT is zero
whereas dCT/dSA would be infinite."
gsw_melting_ice_into_seawater,"Calculates the final Absolute Salinity, final Conservative Temperature
and final ice mass fraction that results when a given mass fraction of
ice melts and is mixed into seawater whose properties are (SA,CT,p).
This code takes the seawater to contain no dissolved air.
When the mass fraction w_Ih_final is calculated as being a positive
value, the seawater-ice mixture is at thermodynamic equlibrium.
This code returns w_Ih_final = 0 when the input bulk enthalpy, h_bulk,
is sufficiently large (i.e. sufficiently ""warm"") so that there is no ice
present in the final state.  In this case the final state consists of
only seawater rather than being an equlibrium mixture of seawater and
ice which occurs when w_Ih_final is positive.  Note that when"
gsw_melting_ice_sa_ct_ratio,"Calculates the ratio of SA to CT changes when ice melts into seawater.
It is assumed that a small mass of ice melts into an infinite mass of
seawater.  Because of the infinite mass of seawater, the ice will always
melt.   
The output, melting_seaice_SA_CT_ratio, is dSA/dCT rather than dCT/dSA. 
This is done so that when SA = 0, the output, dSA/dCT is zero whereas 
dCT/dSA would be infinite."
gsw_melting_ice_sa_ct_ratio_poly,"Calculates the ratio of SA to CT changes when ice melts into seawater.
It is assumed that a small mass of ice melts into an infinite mass of
seawater.  Because of the infinite mass of seawater, the ice will always
melt.
The output, melting_seaice_SA_CT_ratio, is dSA/dCT rather than dCT/dSA.
This is done so that when SA = 0, the output, dSA/dCT is zero whereas
dCT/dSA would be infinite."
gsw_melting_seaice_equilibrium_sa_ct_ratio,"Calculates the ratio of SA to CT changes when sea ice melts into 
seawater with both the seawater and the sea ice temperatures being  
almost equal to the equilibrium freezing temperature.  It is assumed  
that a small mass of seaice melts into an infinite mass of seawater.  If 
indeed the temperature of the seawater and the sea ice were both equal  
to the freezing temperature, then no melting or freezing would occur; an  
imbalance between these three temperatures is needed for freezing or 
melting to occur (the three temperatures being (1) the seawater 
temperature, (2) the sea ice temperature, and (3) the freezing 
temperature.  
Note that the output of this function, dSA/dCT is independent of the 
sea ice salinity, SA_seaice.  That is, the output applies equally to  
pure ice Ih and to sea ice with seaice salinity, SA_seaice.  This result 
is proven in the manuscript, McDougall et al. (2013).  
The output, melting_seaice_equilibrium_SA_CT_ratio, is dSA/dCT rather  
than dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT is 
zero whereas dCT/dSA would be infinite."
gsw_melting_seaice_equilibrium_sa_ct_ratio_poly,"Calculates the ratio of SA to CT changes when sea ice melts into
seawater with both the seawater and the sea ice temperatures being
almost equal to the equilibrium freezing temperature.  It is assumed
that a small mass of seaice melts into an infinite mass of seawater.  If
indeed the temperature of the seawater and the sea ice were both equal
to the freezing temperature, then no melting or freezing would occur; an
imbalance between these three temperatures is needed for freezing or
melting to occur (the three temperatures being (1) the seawater
temperature, (2) the sea ice temperature, and (3) the freezing
temperature.
Note that the output of this function, dSA/dCT is independent of the
sea ice salinity, SA_seaice.  That is, the output applies equally to
pure ice Ih and to sea ice with seaice salinity, SA_seaice.  This result
is proven in the manuscript, McDougall et al. (2013).
The output, melting_seaice_equilibrium_SA_CT_ratio, is dSA/dCT rather
than dCT/dSA.  This is done so that when SA = 0, the output, dSA/dCT is
zero whereas dCT/dSA would be infinite."
gsw_melting_seaice_into_seawater,"Calculates the Absolute Salinity and Conservative Temperature that 
results when a given mass of sea ice (or ice) melts and is mixed into a 
known mass of seawater (whose properties are (SA,CT,p)).  
If the ice contains no salt (e.g. if it is of glacial origin), then the 
input 'SA_seaice' should be set to zero.  
Ice formed at the sea surface (sea ice) typically contains between 2 g/kg
and 12 g/kg of salt (defined as the mass of salt divided by the mass of 
ice Ih plus brine) and this programme returns NaN's if the input  
SA_seaice is greater than 15 g/kg.  If the SA_seaice input is not zero,   
usually this would imply that the pressure p should be zero, as sea ice  
only occurs near the sea surface.  The code does not impose that p = 0 
if SA_seaice is non-zero.  Rather, this is left to the user.  
The Absolute Salinity, SA_brine, of the brine trapped in little pockets 
in the sea ice, is in thermodynamic equilibrium with the ice Ih that
surrounds these pockets.  As the sea ice temperature, t_seaice, may be 
less than the freezing temperature, SA_brine is usually greater than the
Absolute Salinity of the seawater at the time and place when and where 
the sea ice was formed.  So usually SA_brine will be larger than SA."
gsw_melting_seaice_sa_ct_ratio,"Calculates the ratio of SA to CT changes when sea ice melts into seawater.
It is assumed that a small mass of sea ice melts into an infinite mass of
seawater.  Because of the infinite mass of seawater, the sea ice will 
always melt.   
Ice formed at the sea surface (sea ice) typically contains between 2 g/kg
and 12 g/kg of salt (defined as the mass of salt divided by the mass of 
ice Ih plus brine) and this programme returns NaN's if the input 
SA_seaice is greater than 15 g/kg.  If the SA_seaice input is not zero, 
usually this would imply that the pressure p should be zero, as sea ice 
only occurs near the sea surface.  The code does not impose that p = 0 if 
SA_seaice is non-zero.  Rather, this is left to the user.  
The Absolute Salinity, SA_brine, of the brine trapped in little pockets 
in the sea ice, is in thermodynamic equilibrium with the ice Ih that
surrounds these pockets.  As the seaice temperature, t_seaice, may be 
less than the freezing temperature, SA_brine is usually greater than the
Absolute Salinity of the seawater at the time and place when and where 
the sea ice was formed.  So usually SA_brine will be larger than SA.  
The output, melting_seaice_SA_CT_ratio, is dSA/dCT rather than dCT/dSA. 
This is done so that when (SA - seaice_SA) = 0, the output, dSA/dCT is 
zero whereas dCT/dSA would be infinite."
gsw_melting_seaice_sa_ct_ratio_poly,"Calculates the ratio of SA to CT changes when sea ice melts into seawater.
It is assumed that a small mass of sea ice melts into an infinite mass of
seawater.  Because of the infinite mass of seawater, the sea ice will
always melt.
Ice formed at the sea surface (sea ice) typically contains between 2 g/kg
and 12 g/kg of salt (defined as the mass of salt divided by the mass of
ice Ih plus brine) and this programme returns NaN's if the input
SA_seaice is greater than 15 g/kg.  If the SA_seaice input is not zero,
usually this would imply that the pressure p should be zero, as sea ice
only occurs near the sea surface.  The code does not impose that p = 0 if
SA_seaice is non-zero.  Rather, this is left to the user.
The Absolute Salinity, SA_brine, of the brine trapped in little pockets
in the sea ice, is in thermodynamic equilibrium with the ice Ih that
surrounds these pockets.  As the seaice temperature, t_seaice, may be
less than the freezing temperature, SA_brine is usually greater than the
Absolute Salinity of the seawater at the time and place when and where
the sea ice was formed.  So usually SA_brine will be larger than SA.
The output, melting_seaice_SA_CT_ratio, is dSA/dCT rather than dCT/dSA.
This is done so that when (SA - seaice_SA) = 0, the output, dSA/dCT is
zero whereas dCT/dSA would be infinite."
gsw_nsquared,"Calculates the buoyancy frequency squared (N^2)(i.e. the Brunt-Vaisala 
frequency squared) at the mid pressure from the equation,
2      2             beta.d(SA) - alpha.d(CT)"
gsw_p_from_z,Calculates the pressure p from height z
gsw_pot_enthalpy_from_pt_ice,"Calculates the potential enthalpy of ice from potential temperature of
ice (whose reference sea pressure is zero dbar)."
gsw_pot_enthalpy_from_pt_ice_poly,"Calculates the potential enthalpy of ice from potential temperature of
ice (whose reference sea pressure is zero dbar).  This is a
compuationally efficient polynomial fit to the potential enthalpy of
ice."
gsw_pot_enthalpy_ice_freezing,Calculates the potential enthalpy of ice at which seawater freezes.
gsw_pot_enthalpy_ice_freezing_first_derivatives,"Calculates the first derivatives of the potential enthalpy of ice at
which seawater freezes, with respect to Absolute Salinity SA and
pressure P (in Pa)."
gsw_pot_enthalpy_ice_freezing_first_derivatives_poly,"Calculates the first derivatives of the potential enthalpy of ice Ih at
which ice melts into seawater with Absolute Salinity SA and at pressure 
p.  This code uses the comptationally efficient polynomial fit of the
freezing potential enthalpy of ice Ih (McDougall et al., 2015)."
gsw_pot_enthalpy_ice_freezing_poly,"Calculates the potential enthalpy of ice at which seawater freezes.
The error of this fit ranges between -2.5 and 1 J/kg with an rms of 
1.07, between SA of 0 and 120 g/kg and p between 0 and 10,000 dbar (the
error in the fit is between -0.7 and 0.7 with an rms of
0.3, between SA of 0 and 120 g/kg and p between 0 and 5,000 dbar) when
compared with the potential enthalpy calculated from the exact in-situ 
freezing temperature which is found by a Newton-Raphson iteration of the 
equality of the chemical potentials of water in seawater and in ice."
gsw_pot_rho_t_exact,Calculates the potential density of seawater
gsw_pressure_coefficient_ice,Calculates pressure coefficient of ice.
gsw_pressure_freezing_ct,"Calculates the pressure (in dbar) of seawater at the freezing
temperature.  That is, the output is the pressure at which seawater,
with Absolute Salinity SA, Conservative Temperature CT, and with
saturation_fraction of dissolved air, freezes.  If the input values are
such that there is no value of pressure in the range between 0 dbar and
10,000 dbar for which seawater is at the freezing temperature, the
output, pressure_freezing, is put equal to NaN."
gsw_pt0_cold_ice_poly,"Calculates an initial estimate of pt0_ice when it is less than about
-100 deg C."
gsw_pt0_from_t,"Calculates potential temperature with reference pressure, p_ref = 0 dbar."
gsw_pt0_from_t_ice,"Calculates potential temperature of ice Ih with a reference pressure of
0 dbar, from in-situ temperature, t."
